[warn] 北京时间 17:50 处于高峰时段(9-12/14-18)，API 两倍价——冒烟无所谓，放量请换低谷
total=9000 done=50 todo=8987
[10/8987] ok=10 rej=0 flagged=2 calls=10 in_miss=18032 in_hit=512 out=1183 ≈¥0.046(标准价, 低谷约半)
[20/8987] ok=20 rej=0 flagged=2 calls=20 in_miss=29036 in_hit=7936 out=2281 ≈¥0.080(标准价, 低谷约半)
[30/8987] ok=30 rej=0 flagged=3 calls=31 in_miss=32761 in_hit=24832 out=3568 ≈¥0.106(标准价, 低谷约半)
[40/8987] ok=40 rej=0 flagged=4 calls=42 in_miss=36939 in_hit=41728 out=4959 ≈¥0.134(标准价, 低谷约半)
[50/8987] ok=50 rej=0 flagged=4 calls=53 in_miss=40903 in_hit=58624 out=6253 ≈¥0.161(标准价, 低谷约半)
[60/8987] ok=60 rej=0 flagged=4 calls=64 in_miss=44945 in_hit=75520 out=7755 ≈¥0.190(标准价, 低谷约半)
[70/8987] ok=70 rej=0 flagged=5 calls=74 in_miss=47960 in_hit=90880 out=8991 ≈¥0.213(标准价, 低谷约半)
[80/8987] ok=80 rej=0 flagged=7 calls=84 in_miss=51103 in_hit=106240 out=10208 ≈¥0.237(标准价, 低谷约半)
[90/8987] ok=90 rej=0 flagged=8 calls=94 in_miss=54535 in_hit=121600 out=11381 ≈¥0.261(标准价, 低谷约半)
[100/8987] ok=100 rej=0 flagged=9 calls=104 in_miss=57673 in_hit=136960 out=12688 ≈¥0.285(标准价, 低谷约半)
[110/8987] ok=110 rej=0 flagged=9 calls=114 in_miss=61038 in_hit=152320 out=13741 ≈¥0.308(标准价, 低谷约半)
[120/8987] ok=120 rej=0 flagged=10 calls=124 in_miss=64601 in_hit=167680 out=15011 ≈¥0.333(标准价, 低谷约半)
[130/8987] ok=130 rej=0 flagged=12 calls=134 in_miss=67768 in_hit=183040 out=16191 ≈¥0.357(标准价, 低谷约半)
[140/8987] ok=140 rej=0 flagged=13 calls=144 in_miss=71188 in_hit=198400 out=17541 ≈¥0.382(标准价, 低谷约半)
[150/8987] ok=150 rej=0 flagged=14 calls=154 in_miss=74760 in_hit=213760 out=18787 ≈¥0.407(标准价, 低谷约半)
[160/8987] ok=160 rej=0 flagged=14 calls=164 in_miss=78430 in_hit=229120 out=19963 ≈¥0.431(标准价, 低谷约半)
[170/8987] ok=170 rej=0 flagged=15 calls=174 in_miss=81860 in_hit=244480 out=21308 ≈¥0.456(标准价, 低谷约半)
[180/8987] ok=180 rej=0 flagged=16 calls=185 in_miss=85689 in_hit=261376 out=22644 ≈¥0.483(标准价, 低谷约半)
[190/8987] ok=190 rej=0 flagged=17 calls=195 in_miss=88877 in_hit=276736 out=23962 ≈¥0.508(标准价, 低谷约半)
[200/8987] ok=200 rej=0 flagged=18 calls=205 in_miss=92107 in_hit=292096 out=25122 ≈¥0.531(标准价, 低谷约半)
[210/8987] ok=210 rej=0 flagged=20 calls=215 in_miss=95246 in_hit=307456 out=26550 ≈¥0.557(标准价, 低谷约半)
[220/8987] ok=220 rej=0 flagged=21 calls=225 in_miss=98870 in_hit=322816 out=27921 ≈¥0.583(标准价, 低谷约半)
[230/8987] ok=230 rej=0 flagged=21 calls=235 in_miss=102100 in_hit=338176 out=29048 ≈¥0.606(标准价, 低谷约半)
[240/8987] ok=240 rej=0 flagged=21 calls=245 in_miss=105948 in_hit=353536 out=30486 ≈¥0.633(标准价, 低谷约半)
[250/8987] ok=250 rej=0 flagged=21 calls=256 in_miss=109771 in_hit=370432 out=31976 ≈¥0.661(标准价, 低谷约半)
[260/8987] ok=260 rej=0 flagged=22 calls=267 in_miss=113542 in_hit=387328 out=33295 ≈¥0.687(标准价, 低谷约半)
